,all,site,treat,Date,day,pH,Water (%),TC (%),SOC (%),TN (%),NH4-N (mg/kg),NO3-N (mg/kg),AP (mg/kg),AK (g/kg),SCF
PB228,PB,P,B,228,0,6.6,8.837296386,2.121,0.499714286,0.047,1.945184917,8.410215955,6.8,0.1081,NA
PB317,PB,P,B,317,22,7,10.11554835,3.177,1.894547202,0.063,10.59317708,6.514548033,6.7,0.1358,0.148449422
PB411,PB,P,B,411,47,6,10.34482759,3.865,2.161094225,0.095,2.985533962,3.619790039,7.8,0.1107,1.057558409
PB428,PB,P,B,428,64,6.6,10.39251576,2.216,1.023302385,0.057,2.353029531,2.653080276,4.6,0.106,3.822967291
PB512,PB,P,B,512,78,7,7.215166575,2.694655899,1.149212093,0.062599019,3.281676376,0.483893299,3.6,0.0954,1.004854393
PB602,PB,P,B,602,99,7,6.147795487,2.711758678,1.830901485,0.091788085,0.546650429,0.857036689,6.1,0.1354,4.442079703
PB613,PB,P,B,613,110,7,14.71658866,2.890106916,1.975510204,0.106915685,1.676574752,3.551006152,11.5,0.1067,5.584591389
PC228,PC,P,C,228,0,6.6,8.837296386,2.121,0.499714286,0.047,1.945184917,8.410215955,6.8,0.1081,NA
PC317,PC,P,C,317,22,6.4,10.02925198,2.509,0.721521877,0.079,2.649439938,3.134093585,7.7,0.1818,0.148449422
PC411,PC,P,C,411,47,7,10.76414401,2.494,0.903344867,0.095,2.382536391,2.303557284,12.7,0.1625,0.655948662
PC428,PC,P,C,428,64,7,13.09677419,2.105,0.570207918,0.065,2.17574688,1.194324063,3.4,0.171,3.020091136
PC512,PC,P,C,512,78,7,9.205260149,2.730408725,0.644011431,0.082581275,3.340551283,0.667243706,4.6,0.1195,5.37277619
PC602,PC,P,C,602,99,7,8.97271562,1.505135413,0.741368371,0.06847218,3.222968152,3.849144822,9.3,0.163,2.41425697
PC613,PC,P,C,613,110,7,13.54322839,1.825135769,1.566055468,0.142094545,2.221897592,11.65577011,11.6,0.1309,8.870209058
PBC228,PBC,P,BC,228,0,6.6,8.837296386,2.121,0.499714286,0.047,1.945184917,8.410215955,6.8,0.1081,NA
PBC317,PBC,P,BC,317,22,7.2,9.952978056,3.085,1.722210066,0.075,6.570568325,5.176943793,10,0.1656,0.148449422
PBC411,PBC,P,BC,411,47,6.4,9.86970684,3.337,2.160752375,0.135,4.422365126,6.061184061,14.8,0.1658,1.085991459
PBC428,PBC,P,BC,428,64,6.6,13.26203209,2.712,0.663501245,0.089,2.24317131,1.052288601,6.9,0.1545,2.132027547
PBC512,PBC,P,BC,512,78,7,8.705827288,2.272551024,0.683096886,0.12002538,3.785650256,1.107995197,0.7,0.1047,7.496294657
PBC602,PBC,P,BC,602,99,7.2,6.907411295,2.101260902,0.893483478,0.024051894,1.434165381,4.074549329,4,0.1275,7.661666393
PBC613,PBC,P,BC,613,110,7,13.95014382,1.933589671,1.527430099,0.079570287,1.905537745,11.85087858,9.8,0.1088,8.081478755
PCK317,PCK,P,CK,317,22,7,9.811953081,2.291,0.556910569,0.053,2.201596543,1.545915248,6.7,0.1367,0.148449422
PCK411,PCK,P,CK,411,47,6.8,10.35980149,1.962,0.656979405,0.066,2.042465668,5.811410162,7.8,0.1215,0.082544837
PCK428,PCK,P,CK,428,64,6.8,12.6162652,2.147,0.525310411,0.046,1.902850304,0.778034587,4.3,0.1553,2.291105032
PCK512,PCK,P,CK,512,78,6.8,9.34609768,2.150727578,0.471703732,0.052469568,3.631340704,0.774434168,1.7,0.1364,3.298363447
PCK602,PCK,P,CK,602,99,6.2,10.02423441,1.504855038,0.465144376,0.015288203,0.421292744,1.399293757,7.7,0.1065,4.071652571
PCK613,PCK,P,CK,613,110,7,13.90756303,1.345662015,0.910760133,0.060204415,1.399253181,2.685053401,6.3,0.1393,7.052031835
PCK228,PCK,P,CK,228,0,6.6,8.837296386,2.121,0.499714286,0.047,1.945184917,8.410215955,6.8,0.1081,NA
CB228,CB,C,B,228,0,6.8,7.277486911,2.542,1.541345249,0.137,0.636435445,9.423191471,16.3,0.2368,NA
CB317,CB,C,B,317,22,7,5.714285714,4.027,3.097953091,0.146,2.212837421,6.941048628,17,0.2139,0.339265585
CB411,CB,C,B,411,47,6.8,7.397680018,4.873,3.489545782,0.172,0.704464079,13.17479095,17.7,0.2279,0.295843949
CB428,CB,C,B,428,64,6.6,6.764295676,3.969,2.898664572,0.167,1.21377271,7.554927478,16.6,0.2279,0.985329986
CB512,CB,C,B,512,78,6.8,5.177847816,3.480342176,2.257667104,0.132722717,2.870769512,10.03621021,11.1,0.1778,2.642636617
CB602,CB,C,B,602,99,7,5.376146789,3.00274948,2.942242114,0.117910395,0.794503659,16.37350133,16.2,0.2431,1.346612096
CB613,CB,C,B,613,110,7,1.875837427,3.194258373,2.859811509,0.11138756,2.320056807,2.106554647,15.7,0.2547,3.121496518
CC228,CC,C,C,228,0,6.8,7.277486911,2.542,1.541345249,0.137,0.636435445,9.423191471,16.3,0.2368,NA
CC317,CC,C,C,317,22,7,5.500450857,3.542,2.072141441,0.224,1.081663878,7.602055365,23.7,0.2798,0.339265585
CC411,CC,C,C,411,47,7,7.298861303,3.918,2.558685446,0.228,2.373603833,18.03359986,32.4,0.3468,0.364330014
CC428,CC,C,C,428,64,6.4,5.776754891,2.886,2.898193244,0.142,1.574605988,15.12200344,18.9,0.1837,2.326684554
CC512,CC,C,C,512,78,7,3.983148219,3.401328784,2.091617647,0.176692404,2.264282122,15.71678179,20.7,0.2243,7.084746997
CC602,CC,C,C,602,99,7,5.84486926,2.616705226,2.053832218,0.131678523,0.874270712,28.45311719,28.3,0.4024,1.282913884
CC613,CC,C,C,613,110,7,2.513089005,2.788340023,2.490111559,0.170488416,2.976634147,3.914545404,33.4,0.3497,3.616069555
CBC228,CBC,C,BC,228,0,6.8,7.277486911,2.542,1.541345249,0.137,0.636435445,9.423191471,16.3,0.2368,NA
CBC317,CBC,C,BC,317,22,6.6,6.290726817,2.953,1.785880977,0.126,5.279139492,4.954196918,11.9,0.1785,0.339265585
CBC411,CBC,C,BC,411,47,7.4,7.329401853,3.358,2.370905201,0.145,0.764710093,8.862140301,10.7,0.1586,0.286323999
CBC428,CBC,C,BC,428,64,6.6,7.235923685,2.951,0.981154741,0.152,1.410471884,4.921539396,9.7,0.1526,1.945294817
CBC512,CBC,C,BC,512,78,5.2,5.189582535,3.415944461,2.293198601,0.129304373,5.90442147,24.06445961,7.9,0.1182,7.006540616
CBC602,CBC,C,BC,602,99,7,6.814516129,2.333405832,3.531852575,0.076793094,0.847697005,35.55669744,10.8,0.1931,1.804229538
CBC613,CBC,C,BC,613,110,7,2.350119904,2.324063238,1.672373647,0.092833198,2.54307072,5.081867372,12.2,0.2054,4.034220219
CCK317,CCK,C,CK,317,22,7,6.791406791,3.926,2.023897642,0.166,0.98477305,5.019433942,10.5,0.1798,0.339265585
CCK411,CCK,C,CK,411,47,7,7.877813505,4.242,2.322709163,0.198,0.487709067,9.952162248,12.1,0.1605,0.472910404
CCK428,CCK,C,CK,428,64,6.8,6.3878327,3.232,1.507698501,0.159,1.12899433,9.199716851,7,0.1403,1.325217326
CCK512,CCK,C,CK,512,78,7,4.817073171,3.859467965,2.081104199,0.202586419,2.865296139,9.228072803,8.3,0.1271,7.954134464
CCK602,CCK,C,CK,602,99,7,4.151404151,2.873736813,2.280112045,0.141921155,0.962015055,15.26577881,18.2,0.2666,1.813480894
CCK613,CCK,C,CK,613,110,7,3.432609793,2.611012866,2.02501046,0.120204906,1.713914535,2.033305433,12.8,0.1536,5.816680908
CCK228,CCK,C,CK,228,0,6.8,7.277486911,2.542,1.541345249,0.137,0.636435445,9.423191471,16.3,0.2368,NA
HB228,HB,H,B,228,0,7.2,11.02890173,1.833,1.054761248,0.104,0.423226308,10.35029401,20.4,0.2097,NA
HB317,HB,H,B,317,22,7,14.87450462,3.734,2.81925748,0.116,7.136674514,8.785160099,25,0.2296,0.664941966
HB411,HB,H,B,411,47,6.4,13.66885051,3.162,2.715555556,0.147,0.671039029,9.299970441,25.9,0.2397,1.580203652
HB428,HB,H,B,428,64,6.8,14.49875725,4.087,2.47118121,0.142,0.987784243,4.860083974,32.2,0.2606,2.23731331
HB512,HB,H,B,512,78,6.4,9.219562955,3.340221048,2.442267206,0.095146564,2.376771232,6.44622456,19.1,0.2042,4.220914841
HB602,HB,H,B,602,99,7,10.41134092,2.522416002,2.784451204,0.071928269,0.377908515,6.613399009,30.1,0.2719,3.819257895
HB613,HB,H,B,613,110,6.4,4.260299625,1.927802349,1.652723589,0.049870368,0.870415648,3.664907991,31.1,0.2206,4.086789926
HC228,HC,H,C,228,0,7.2,11.02890173,1.833,1.054761248,0.104,0.423226308,10.35029401,20.4,0.2097,NA
HC317,HC,H,C,317,22,6.4,15.94270956,3.068,1.957211618,0.182,1.800280488,5.455096491,26.9,0.2925,0.664941966
HC411,HC,H,C,411,47,6.2,12.87396563,2.243,1.438898451,0.133,0.705514113,6.278602107,16.5,0.2128,5.294089158
HC428,HC,H,C,428,64,7,14.58684654,2.967,1.215789474,0.121,2.607516992,4.987881869,14.3,0.2491,4.620697816
HC512,HC,H,C,512,78,6.8,9.765710532,2.617740839,1.389038522,0.123882703,2.78227531,8.267198521,12.1,0.1974,7.831389745
HC602,HC,H,C,602,99,7,9.025616471,1.640844962,1.69107772,0.139391049,0.536866068,9.982069101,28.4,0.2965,5.176412582
HC613,HC,H,C,613,110,7,8.407079646,1.21677072,0.851262131,0.055558738,1.637183535,3.980993399,31.9,0.1615,4.915342649
HBC228,HBC,H,BC,228,0,7.2,11.02890173,1.833,1.054761248,0.104,0.423226308,10.35029401,20.4,0.2097,NA
HBC317,HBC,H,BC,317,22,7,16.47373108,4.342,2.595667645,0.139,1.853092221,2.867522109,10.7,0.1967,0.664941966
HBC411,HBC,H,BC,411,47,6.4,12.83940223,3.283,2.548571429,0.142,0.732751017,3.739037722,14.9,0.1627,3.672341665
HBC428,HBC,H,BC,428,64,7.4,14.90987461,2.732,1.792155548,0.12,1.66846424,2.49748241,10.6,0.1919,3.593563318
HBC512,HBC,H,BC,512,78,6.8,10.22978347,2.613233621,1.37462069,0.09803284,4.180792942,10.85344923,11.7,0.1413,9.305730184
HBC602,HBC,H,BC,602,99,7,10.3286385,1.800525607,1.719846069,0.074995193,1.903547396,45.66775351,10,0.1682,7.398485343
HBC613,HBC,H,BC,613,110,5.6,7.604373757,1.762570372,1.481877997,0.055975551,0.853646895,4.064985213,14.4,0.1281,6.22804594
HCK317,HCK,H,CK,317,22,6.6,15.59367342,2.136,0.925563223,0.081,0.438794561,1.389516111,7.4,0.1435,0.664941966
HCK411,HCK,H,CK,411,47,6.8,13.4351145,2.044,0.96442577,0.096,0.66098753,6.477677795,8.7,0.1256,1.880025109
HCK428,HCK,H,CK,428,64,7,14.18867925,2.102,1.00200826,0.123,3.177809255,8.15923998,9.8,0.1556,3.055004994
HCK512,HCK,H,CK,512,78,5.8,10.12631579,2.057010024,0.728711485,0.069242944,3.581478314,7.696154242,3.6,0.1114,5.27583917
HCK602,HCK,H,CK,602,99,6.8,8.796740173,1.126265541,0.769004095,0.068719509,0.383571105,3.60182623,6,0.1354,4.735525926
HCK613,HCK,H,CK,613,110,6.8,10.94412331,1.10317935,0.741606124,0.04107972,1.641071181,3.978354379,9.8,0.1351,3.168981671
HCK228,HCK,H,CK,228,0,7.2,11.02890173,1.833,1.054761248,0.104,0.423226308,10.35029401,20.4,0.2097,NA
